Services/Programs/Package Name	Cadenhead's Stop Buggin' Basic	Cadenhead's Stop Buggin' Plus	Cadenhead's Stop Buggin' Preferred
Service description to be displayed	Cadenhead Services Stop Buggin’ Basic is an affordable pest control plan that focuses on the exterior of the home since that is where most pests come from offering you year-round protection against common house infesting pests.  This plan includes an initial interior and exterior inspection and treatment.  Followed by 3 exterior treatments performed every four months for covered pests backed by our DontBugMe Guarantee with no charge service for covered pests between scheduled visits.	Cadenhead Services Stop Buggin’ Plus is a comprehensive home pest control plan that targets common house-infesting pests PLUS termites. This service includes 4 scheduled services performed quarterly including Annual service to maintain the Sentricon System. Quarterly services are focused on the exterior of the home; however, your pest control technician will treat inside as needed. Plus, the Sentricon® Termite Colony Elimination System.	Cadenhead Services Stop Buggin’ Preferred is our most comprehensive & complete home pest control plan that targets common house-infesting pests PLUS termites, mosquitoes, and fire ants.  This service includes 6 scheduled services performed every other month.  Services are focused on the exterior of the home; however, your pest control technician will treat inside as needed. Plus, the Sentricon® Termite Colony Elimination System, Mosquito Traps, and Fire Ant Control in defined areas.
Initial Cost followed by monthly payments noted below.	Initial Price $250.00 followed by monthly price noted below.	Initial Price $450.00 followed by monthly price noted below.	Initial Price $600.00 followed by monthly price noted below.
Property measurement to be used	Building Perimeter (ft)	Building Perimeter (ft)	Building Perimeter (ft)
1000 sqft / 10 ft	$33.00	$58.00	$79.00
2000 sqft / 20 ft	$33.00	$58.00	$79.00
3000 sqft / 30 ft	$33.00	$58.00	$79.00
4000 sqft / 40 ft	$33.00	$58.00	$79.00
5000 sqft / 50 ft	$33.00	$58.00	$79.00
6000 sqft / 60 ft	$33.00	$58.00	$79.00
7000 sqft / 70 ft	$33.00	$58.00	$79.00
8000 sqft / 80 ft	$33.00	$58.00	$79.00
9000 sqft / 90 ft	$33.00	$58.00	$79.00
10000 sqft / 100 ft	$33.00	$58.00	$79.00
11000 sqft / 110 ft	$33.00	$58.00	$79.00
12000 sqft / 120 ft	$33.00	$58.00	$79.00
13000 sqft / 130 ft	$33.00	$58.00	$79.00
14000 sqft / 140 ft	$33.00	$58.00	$79.00
15000 sqft / 150 ft	$33.00	$58.00	$79.00
16000 sqft / 160 ft	$33.00	$58.00	$79.00
17000 sqft / 170 ft	$33.00	$58.00	$79.00
18000 sqft / 180 ft	$33.00	$58.00	$79.00
19000 sqft / 190 ft	$33.00	$58.00	$79.00
20000 sqft / 200 ft	$33.00	$58.00	$79.00
21000 sqft / 210 ft	$33.00	$58.00	$79.00
22000 sqft / 220 ft	$33.00	$58.00	$79.00
